E4 (W=6) X,E4 (W=6) Y,E4 (W=12) X,E4 (W=12) Y,E4 (W=18) X,E4 (W=18) Y,E4 (W=24) X,E4 (W=24) Y
0.02,4.346982368005925,0.02,7.695473913074302,0.02,10.33984300524331,0.02,12.48162722946144
0.04,7.492298396240571,0.04,12.22344206161718,0.04,15.47287589557005,0.04,17.84469028892897
0.06,11.95037788845621,0.06,17.56030790763976,0.06,20.81642240526414,0.06,22.94544588610599
0.08,17.25332213392292,0.08,22.6836648784058,0.08,25.34400308525271,0.08,26.9238104300177
0.1,22.39322109041328,0.1,26.70991191932934,0.1,28.54373134490834,0.1,29.55816010093865
0.12,26.46352677425003,0.12,29.38542150397011,0.12,30.50623993928986,0.12,31.09858697936047
0.14,29.17640234588034,0.14,30.94401996789528,0.14,31.57965894392375,0.14,31.90671076284132
0.16,30.74697918659092,0.16,31.74499752738137,0.16,32.09063553498962,0.16,32.26584555410491
0.18,31.53090652842769,0.18,32.07369026480135,0.18,32.2577579020413,0.18,32.35031056756538
0.2,31.81509123716852,0.2,32.10572418852139,0.2,32.20311306673908,0.2,32.25185772271947
0.22,31.77656537472055,0.22,31.93257341368609,0.22,31.9844393103189,0.22,32.01031776565559
0.24,31.50733656597763,0.24,31.59315819374788,0.24,31.62147131502772,0.24,31.63555177298446
0.26,31.047463204518,0.26,31.09751763061831,0.26,31.11384920261708,0.26,31.12193030938998
0.28,30.41108467099886,0.28,30.44350381785407,0.28,30.45390462725732,0.28,30.45901013003449
0.3,29.60563548266053,0.3,29.62981329611585,0.3,29.63740944366166,0.3,29.64109999701791
0.32,28.64648001644825,0.32,28.667057726307,0.32,28.67339977941456,0.32,28.67645096173203
0.34,27.56694340612566,0.34,27.58589710062471,0.34,27.59166067353289,0.34,27.59441395190334
0.36,26.42117129100822,0.36,26.43897469216314,0.36,26.4443459413078,0.36,26.4469008153126
0.3800000000000001,25.27691836227157,0.3800000000000001,25.29330645149128,0.3800000000000001,25.29822927393608,0.3800000000000001,25.30056514865817
0.4000000000000001,24.19863496097638,0.4000000000000001,24.21319038546448,0.4000000000000001,24.21755130608643,0.4000000000000001,24.21961747004369
0.4200000000000001,23.22669551358734,0.4200000000000001,23.239280312133,0.4200000000000001,23.24304268450035,0.4200000000000001,23.24482312396838
0.4400000000000001,22.3622293864002,0.4400000000000001,22.37319955154982,0.4400000000000001,22.37647079332639,0.4400000000000001,22.37801675714202
0.4600000000000001,21.565584069757,0.4600000000000001,21.57574607249531,0.4600000000000001,21.57876675745063,0.4600000000000001,21.58019207141127
0.4800000000000001,20.77051916903264,0.4800000000000001,20.78086933283599,0.4800000000000001,20.78393669778132,0.4800000000000001,20.78538188654109
0.5000000000000001,19.90887985906444,0.5000000000000001,19.92025321078227,0.5000000000000001,19.92361696176891,0.5000000000000001,19.92520013670326
0.5200000000000001,18.93520036603931,0.5200000000000001,18.94799411693533,0.5200000000000001,18.9517739172272,0.5200000000000001,18.95355180592809
0.5400000000000001,17.84057718521213,0.5400000000000001,17.85466869757445,0.5400000000000001,17.85882934250792,0.5400000000000001,17.8607855222375
0.5600000000000002,16.6511032592158,0.5600000000000002,16.66596975004574,0.5600000000000002,16.67035651229777,0.5600000000000002,16.6724180709444
0.5800000000000002,15.4144850592388,0.5800000000000002,15.42942962534582,0.5800000000000002,15.43383551344578,0.5800000000000002,15.43590481414546
0.6000000000000002,14.1832964659743,0.6000000000000002,14.19766051108463,0.6000000000000002,14.20188967265562,0.6000000000000002,14.20387431936233
0.6200000000000002,13.00219085319466,0.6200000000000002,13.0154814597354,0.6200000000000002,13.01938729868207,0.6200000000000002,13.02121816019096
0.6400000000000002,11.90189090227934,0.6400000000000002,11.9138166605583,0.6400000000000002,11.9173126291268,0.6400000000000002,11.9189489458554
0.6600000000000003,10.8988781583239,0.6600000000000003,10.909324527036,0.6600000000000003,10.91237682502681,0.6600000000000003,10.91380275873818
0.6800000000000003,9.998197058423655,0.6800000000000003,10.00717721692838,0.6800000000000003,10.0097901366463,0.6800000000000003,10.01100784091643
0.7000000000000003,9.197128317954908,0.7000000000000003,9.204733736366668,0.7000000000000003,9.206934904451982,0.7000000000000003,9.207957546215431
0.7200000000000003,8.488456606216126,0.7200000000000003,8.494818153804299,0.7200000000000003,8.496646915242316,0.7200000000000003,8.497493183001385
0.7400000000000003,7.862880195483772,0.7400000000000003,7.868141797664745,0.7400000000000003,7.869641348953664,0.7400000000000003,7.870331734777551
0.7600000000000003,7.310573160377481,0.7600000000000003,7.314875996514563,0.7600000000000003,7.316088669793513,0.7600000000000003,7.316643241881587
0.7800000000000004,6.822087916950974,0.7800000000000004,6.82556212582463,0.7800000000000004,6.826526917272429,0.7800000000000004,6.826964153904485
0.8000000000000004,6.388807711119687,0.8000000000000004,6.391568896041816,0.8000000000000004,6.39232042851034,0.8000000000000004,6.392656730025154
0.8200000000000004,6.003119714426481,0.8200000000000004,6.005268252667578,0.8200000000000004,6.005836575651985,0.8200000000000004,6.006086172031905
0.8400000000000004,5.658428879081784,0.8400000000000004,5.660050716433757,0.8400000000000004,5.660461548852419,0.8400000000000004,5.660636616301845
0.8600000000000004,5.349089857222462,0.8600000000000004,5.350257980025037,0.8600000000000004,5.350533154380517,0.8600000000000004,5.350644026747804
0.8800000000000004,5.070303430290664,0.8800000000000004,5.071079552628706,0.8800000000000004,5.071237522481549,0.8800000000000004,5.071292932288869
0.9000000000000005,4.818003609726147,0.9000000000000005,4.818439830452799,0.9000000000000005,4.818496168032911,0.9000000000000005,4.818503482566423
0.9200000000000005,4.588749038135993,0.9200000000000005,4.588889351303034,0.9200000000000005,4.58885720062669,0.9200000000000005,4.588822636767982
0.9400000000000005,4.379624957505875,0.9400000000000005,4.379506572562516,0.9400000000000005,4.379397045155372,0.9400000000000005,4.379325856903368
0.9600000000000005,4.188157896035523,0.9600000000000005,4.187812362824946,0.9600000000000005,4.187634874686626,0.9600000000000005,4.187531512760675
0.9800000000000005,4.01224306329064,0.9800000000000005,4.011697215679085,0.9800000000000005,4.01145976971566,0.9800000000000005,4.011328015267953
1,3.850083412477915,1,3.849360152120621,1,3.84906957253898,1,3.848912648069473
